案件編號,標題,地址,房型,坪數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20403493,中和圓通書香學區近公園美寓,中和區圓通路393巷19弄4號,3房,26,4F/5F,20000,,中和站 97公尺,屋主:何女士,591_20403493.png,3,"24°59'22""N 121°29'25""E",2026/1/10,2602
20390223,小家庭.方正三房💘夫妻首選租金可優惠.全新整修,中和區中山路二段,3房,25.41,4F/5F,22000,,中和站 313公尺,屋主:林先生,591_20390223.png,3,"25°0'8""N 121°29'56""E",2026/1/10,2602
20475970,共享生命中的情境近捷運可租補,中和區興南路二段54巷11弄8號,3房,30,5F/5F,25000,,壽南橋站 111公尺,屋主:莊小姐,591_20475970.png,3,"24°59'8""N 121°30'19""E",2026/1/10,2602
20228766,捷運永安市場站.明亮採光兩房一廳.可貓,中和區南工路2巷,2房,18,4F/4F,25888,,南山高中站 24公尺,代理人:曾小姐,591_20228766.png,3,"25°0'0""N 121°30'20""E",2026/1/10,2602
20435411,捷運起站有座位+大窗採光通風好+綠意靜巷+生活機能超便利,中和區景新街496巷,2房,13,4F/5F,19000,,三介廟站 178公尺,代理人:李小姐,591_20435411.png,3,"24°59'12""N 121°30'52""E",2026/1/10,2602
20336440,"中和環球購物~大空間2陽台,傢俱家電齊全",中和區民治街132巷,3房,35,5F/5F,28800,,民享里[新巴士]站 119公尺,代理人:黃太太,591_20336440.png,3,"25°0'8""N 121°28'30""E",2026/1/10,2602
20377386,可租補✿台電✿華中橋✿捷運中和站✿樓下就有7-11,中和區景平路,2房,16,4F/5F,19033,,中和站 298公尺,仲介:麥先生,591_20377386.png,3,"25°0'17""N 121°29'47""E",2026/1/10,2602
20371121,可租補✿台電✿捷運中原站✿遠東世紀廣場✿,中和區民樂路80巷,2房,20,5F/5F,18985,,平河里站 84公尺,屋主:賴先生,591_20371121.png,3,"25°0'4""N 121°29'3""E",2026/1/10,2602
20346918,"優雅二房一衛一廳一陽台,採光,通風良好",中和區秀朗路三段128巷17弄5號,2房,18,5F/5F,12000,,,屋主:陳小姐,591_20346918.png,3,"0°0'0""N 0°0'0""E",2026/1/10,2602
20468957,環球2房1廳小豪宅中和空氣好採光三面新裝修,中和區民享街121巷,2房,18,4F/5F,25000,,自強國小(莒光路)站 205公尺,屋主:李姐,591_20468957.png,3,"24°59'55""N 121°28'28""E",2026/1/10,2602
20401113,捷運站旁整層住家3樓,中和區景平路64巷,3房,22.6,3F/4F,32000,,秀朗橋站 313公尺,屋主:王先生,591_20401113.png,3,"24°59'29""N 121°31'20""E",2026/1/10,2602
20354126,近永平學區巷弄安靜超商便利,近永平學區巷弄安靜超商便利,3房,29,5F/5F,21000,,保順里[新巴士]站 84公尺,屋主:黃先生,591_20354126.png,3,"25°0'26""N 121°30'5""E",2026/1/10,2602
20352568,"租補~前後,陽台~採光佳,台水台電",中和區員山路150巷,2房,30,5F/5F,22800,,員山派出所站 75公尺,代理人:黃太太,591_20352568.png,3,"24°59'50""N 121°28'52""E",2026/1/10,2602
20456069,可租補♥︎橋和捷運站♥︎遠東世紀♥︎兩房機車族首選♥︎,中和區中正路839巷2號,2房,20,5F/5F,19910,,中原站 483公尺,仲介:許小姐,591_20456069.png,3,"25°0'15""N 121°29'3""E",2026/1/10,2602
20384322,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間兩房♥︎,中和區大勇街29巷,2房,20,4F/5F,23979,,智光商職站 177公尺,仲介:許小姐,591_20384322.png,3,"24°59'40""N 121°30'55""E",2026/1/10,2602
20412030,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間一房一廳♥︎大套房,中和區大勇街29巷,1房,15,4F/5F,21979,,智光商職站 177公尺,仲介:許小姐,591_20412030.png,3,"24°59'40""N 121°30'55""E",2026/1/10,2602
20471584,中和區大勇街60巷公㝢4樓頂加2房全新裝潢，可租補,中和區大勇街60巷公㝢4樓頂加2房全新裝潢，可租補,2房,22,4F/4F,26500,,秀山站 119公尺,仲介:陳先生,591_20471584.png,3,"24°59'41""N 121°31'8""E",2026/1/10,2602
20436273,可租補入籍/近中和站/好市多/中和國小/家樂福/格局採光超好,中和區連城路23巷,4房,30.21,2F/4F,33000,,中和站 378公尺,仲介:邱小姐,591_20436273.png,3,"25°0'4""N 121°29'57""E",2026/1/10,2602
20401260,近捷運秀朗橋站6分鐘【超值大四房2廳2衛】租補寵洽@車位另計,中和區秀朗路三段128巷,4房,28,3F/5F,29999,,秀朗橋站 301公尺,仲介:黃先生,591_20401260.png,3,"24°59'35""N 121°31'29""E",2026/1/10,2602
20472401,通勤友善，大空間整新公寓，去哪都方便～,中和區明禮街,3房,23,5F/5F,19800,,景安站 301公尺,代理人:宋先生,591_20472401.png,3,"24°59'46""N 121°30'17""E",2026/1/10,2602
20396599,全新裝潢景安捷運三分鐘乾濕分離獨洗近北市,中和區景平路259巷,1房,16,4F/4F,15250,,景安站 169公尺,屋主:黃先生,591_20396599.png,3,"24°59'34""N 121°30'23""E",2026/1/10,2602
