ID,標題,地址,房型,坪數,樓層,租金,押金,捷運,聯絡人,截圖,頁碼,緯度,經度
20346918,"優雅二房一衛一廳一陽台,採光,通風良好",地址:中和區秀朗路三段128巷17弄5號,2房1廳1衛18,18.0,5F/5F,12000,,,屋主:陳小姐,591_20346918.png,15,,
20354126,近永平學區巷弄安靜超商便利,地址:中和區中山路二段2巷,3房2廳1衛29,29.0,5F/5F,21000,,保順里[新巴士]站 84公尺,屋主:黃先生,591_20354126.png,15,,
20384322,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間兩房♥︎,地址:中和區大勇街29巷,2房1廳1衛20,20.0,4F/5F,22979,,景平站 281公尺,仲介:許小姐,591_20384322.png,15,,
20433383,宜安路邊間美妝三房(家具家電可談~可租補),地址:中和區宜安路,3房2廳2衛31,31.0,4F/5F,31000,,永安市場站 475公尺,代理人:陳小姐,591_20433383.png,15,,
20401113,捷運站旁整層住家3樓,地址:中和區景平路64巷,3房2廳1衛22,22.6,3F/4F,32000,,秀朗橋站 313公尺,屋主:王先生,591_20401113.png,15,,
20296971,可租補♥︎台電♥︎民樂停車場♥︎遠東世紀♥︎,地址:中和區新生街177巷,2房1廳1衛20,20.0,4F/4F,20951,,平河里站 54公尺,屋主:賴先生,591_20296971.png,15,,
20352568,"租補~前後,陽台~採光佳,台水台電",地址:中和區員山路150巷,2房1廳1衛30,30.0,5F/5F,22800,,,代理人:黃太太,591_20352568.png,15,,
20377386,可租補✿台電✿華中橋✿捷運中和站✿樓下就有7-11,地址:中和區景平路,2房1廳1衛16,16.0,4F/5F,19333,,中和站 268公尺,仲介:麥先生,591_20377386.png,15,,
20328333,全新裝潢/可貓/邊間靜巷2陽台3面採光/家具齊/包網路第四台,地址:中和區員山路327巷55號,3房1廳1衛26,26.0,5F/5F,22900,,員山站 219公尺,屋主:陳女士,591_20328333.png,15,,
20228766,捷運永安市場站.明亮採光兩房一廳.可貓,地址:中和區南工路2巷,2房1廳1衛18,18.0,4F/4F,25888,,南山高中站 24公尺,代理人:曾小姐,591_20228766.png,15,,
20364802,鄰近捷運站，兩房一廳，可開伙有陽台,地址:中和區中山路二段449巷,2房1廳1衛9,9.0,2F/5F,18800,,,屋主:廖先生,591_20364802.png,15,,
20412030,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間一房一廳♥︎大套房,地址:中和區大勇街29巷,1房1廳1衛15,15.0,4F/5F,21979,,景平站 281公尺,仲介:許小姐,591_20412030.png,15,,
20403493,中和圓通書香學區近公園美寓,地址:中和區圓通路393巷19弄4號,3房1廳1衛26,26.0,4F/5F,20000,,中和站 97公尺,屋主:何女士,591_20403493.png,15,,
20336440,"中和環球購物~大空間2陽台,傢俱家電齊全",地址:中和區民治街132巷,3房2廳1衛35,35.0,5F/5F,28800,,,代理人:黃太太,591_20336440.png,15,,
20390223,小家庭.方正三房💘夫妻首選租金可優惠.全新整修,地址:中和區中山路二段,3房2廳1衛25,25.41,4F/5F,22000,,中和站 282公尺,屋主:林先生,591_20390223.png,15,,
20427638,中和民安街積穗夜市旁,地址:中和區民安街34號,3房2廳2衛31,31.0,4F/5F,19000,,積穗國中站 109公尺,屋主:吳小姐,591_20427638.png,15,,
20435411,捷運起站有座位+大窗採光通風好+綠意靜巷+生活機能超便利,地址:中和區景新街496巷,2房1廳1衛13,13.0,4F/5F,19000,,景平站 642公尺,代理人:李小姐,591_20435411.png,15,,
20371121,可租補✿台電✿捷運中原站✿遠東世紀廣場✿,地址:中和區民樂路80巷,2房1廳1衛20,20.0,5F/5F,18985,,平河里站 84公尺,屋主:賴先生,591_20371121.png,15,,
20305998,請捷運中和站8分鐘，可寵精美兩房出租,地址:中和區中山路二段,2房1廳1衛18,18.0,5F/5F,22800,,中和站 521公尺,代理人:翁先生,591_20305998.png,15,,
