案件編號,標題,地址,房型,坪數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20359406,"同意租補，第一個月半價，大一房一廳,景安捷運,有陽台小廚房",中和區復興路280巷,,14,6F/6F,17800,,捷運景安站 313公尺,屋主:何小姐,591_20359406.png,7,"24°59'24""N 121°30'18""E",2026/1/6,2602
20360112,"租補後，景安捷運，第一個月半價，大一房一廳,廚房陽台",中和區復興路280巷,,14,6F/6F,15450,,捷運景安站 276公尺,屋主:林小姐,591_20360112.png,7,"24°59'32""N 121°30'7""E",2026/1/6,2602
20424563,✿可租補✿台電✿全新裝潢✿遠東世紀廣場,中和區連城路319巷,,10,4F/4F,15931,,錦和路站 40公尺,仲介:許小姐,591_20424563.png,7,"24°59'43""N 121°29'23""E",2026/1/6,2602
20327653,TT可租補♥︎橋和捷運站♥︎遠東世紀♥︎兩房機車族首選♥︎,中和區中正路839巷2號,,20,5F/5F,19951,,中原站 483公尺,屋主:何小姐,591_20327653.png,7,"25°0'15""N 121°29'3""E",2026/1/6,2602
20326934,TT可短租✿可租補✿台電✿捷運景安站✿永安市場站✿,中和區保健路67巷,,10,5F/5F,13999,,宜安路站 110公尺,屋主:何小姐,591_20326934.png,7,"24°59'50""N 121°30'36""E",2026/1/6,2602
20328165,TT♥︎頂溪捷運站♥︎獨立陽台♥︎可租補♥︎台電♥︎天然氣,中和區永安街33巷,,10,5F/5F,14900,,永和區公所(竹林路)站 242公尺,屋主:何小姐,591_20328165.png,7,"25°0'26""N 121°31'7""E",2026/1/6,2602
20351789,屋主自租可租補捷運南勢角站1樓獨立套房免爬樓梯！,中和區興南路二段128巷,,3.5,1F/4F,7200,,,屋主:劉先生,591_20351789.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20278068,全新裝潢獨立套房稀有一樓,中和區景平路278巷,,12,1F/5F,16500,,,代理人:林先生,591_20278068.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20391163,新裝潢可開火/獨陽台/獨立洗衣機/抽油煙機廚台/對外窗台可曬,中和區新生街16巷33號,,8,5F/5F,10500,,中原站 504公尺,屋主:陳女士,591_20391163.png,7,"25°0'16""N 121°28'54""E",2026/1/6,2602
20324491,✿可短租✿可租補✿租金含電費✿捷運橋和站✿代收垃圾,中和區中山路二段523巷,,10,5F/5F,15927,,中原站 522公尺,屋主:賴先生,591_20324491.png,7,"25°0'16""N 121°28'54""E",2026/1/6,2602
20278022,乾凈溫馨小套房,中和區景安路79巷,,4,2F/5F,6000,,景安站 603公尺,屋主:姜小姐,591_20278022.png,7,"24°59'51""N 121°30'31""E",2026/1/6,2602
20423438,遠東世紀套房，可租補，首月半價。,中和區連城路,,7,4F/5F,12000,,瓏山林台北中和飯店站 132公尺,屋主:Wendy,591_20423438.png,7,"24°59'46""N 121°29'10""E",2026/1/6,2602
20364701,"13000一次租正三房,雅房,適合單身上班族(不可開伙)",中和區中山路二段449巷1弄21號,,20,4F/4F,13000,,,屋主:郭小姐,591_20364701.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20401580,巳簽約收訂全新大衣櫃大空間免爬梯採光好採光強空氣好,中和區員山路,1房,8,2F/4F,12000,,員山公園站 18公尺,屋主:陳先生,591_20401580.png,7,"25°0'15""N 121°28'50""E",2026/1/6,2602
20326396,TT✿可租補✿台電✿景平站✿永安市場站✿溫馨通風小套房,中和區宜安路23巷,,10,4F/4F,15924,,智光商職站 111公尺,屋主:何小姐,591_20326396.png,7,"24°59'42""N 121°30'44""E",2026/1/6,2602
20296815,南勢角超新設備大窗採光溫馨套房,中和區興南路二段54巷,,7,6F/6F,10500,,華新街口站 94公尺,屋主:邱先生,591_20296815.png,7,"24°59'8""N 121°30'22""E",2026/1/6,2602
20326633,TT可租補✿捷運中和站✿過橋到台北✿台電✿華中橋,中和區景平路753巷13號,,10,5F/5F,13962,,中和站 213公尺,屋主:何小姐,591_20326633.png,7,"25°0'14""N 121°29'46""E",2026/1/6,2602
20377241,秀山國小旁2樓高雅套房,中和區自立路,,6,2F/5F,12000,,秀朗橋站 501公尺,屋主:陳太太,591_20377241.png,7,"24°59'38""N 121°31'20""E",2026/1/6,2602
20405446,2樓免爬高單純全新家具齊近捷運公園百貨,中和區中山路二段64巷,,10,2F/5F,12888,,佳和公園站 123公尺,屋主:林小姐,591_20405446.png,7,"25°0'17""N 121°30'12""E",2026/1/6,2602
20448493,景安捷運典雅風套房出租,中和區圓通路,,6,4F/4F,11500,,圓通景平路口站 35公尺,屋主:孫先生,591_20448493.png,7,"24°59'50""N 121°30'1""E",2026/1/6,2602
20368754,板橋🚝變頻冷氣/獨洗曬✅免爬高裝潢新🏘️機能佳,中和區德光路,,5.5,2F/4F,11900,,德光路站 12公尺,仲介:鄭先生,591_20368754.png,7,"25°0'14""N 121°28'12""E",2026/1/6,2602
20289637,中和🚝變頻冷氣洗脫烘✅空間寬敞/獨立進出大門,中和區景平路493巷,,10,1F/5F,18000,,,仲介:鄭先生,591_20289637.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20314037,中和🚝可貓✅掀床/衛浴開窗🌟鄰近北市🏘️生活機能佳,中和區福美路,,5,,11500,,中和站 235公尺,仲介:鄭先生,591_20314037.png,7,"25°0'15""N 121°29'46""E",2026/1/6,2602
20314014,中和🚝變頻冷氣/洗脫烘/獨立進出✅免爬梯設備新🌟,中和區景平路493巷,,8,1F/5F,18000,,圓通路口站 68公尺,仲介:鄭先生,591_20314014.png,7,"24°59'51""N 121°29'60""E",2026/1/6,2602
20407475,南勢角🚝小資首選‼️衛浴抽風/近捷生活機能強,中和區信義街,,5,5F/5F,8500,,,仲介:鄭先生,591_20407475.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20445697,近中和環球購物中心⭐明亮1房1廳1衛1陽台⭐全新傢俱,中和區民享街92巷,1房,12,,12000,,民享里[新巴士]站 160公尺,代理人:中先生,591_20445697.png,7,"24°59'60""N 121°28'28""E",2026/1/6,2602
20331491,(可租補）走路5分鐘到中和站飯店式套房免仲介費,中和區中山路二段312巷,,8,1F/5F,18000,,中和站 276公尺,仲介:張女士,591_20331491.png,7,"25°0'16""N 121°29'41""E",2026/1/6,2602
20443424,磚牆隔間ˋ離中和工業區ˋ家樂福,中和區中山路二段,,7,1F/5F,6800,,橋和站 232公尺,代理人:許太太,591_20443424.png,7,"25°0'17""N 121°29'17""E",2026/1/6,2602
20408409,可貓-格局方正大套房-獨洗禿窗曬衣,中和區中正路637巷,,6,4F/6F,9000,,瓏山林台北中和飯店站 60公尺,仲介:黃先生,591_20408409.png,7,"24°59'42""N 121°29'5""E",2026/1/6,2602
20460109,遠東世紀廣場【超值租案】免爬梯★對外窗★近商圈,中和區連城路,,5,1F/5F,11999,,建一路站 87公尺,仲介:薛先生,591_20460109.png,7,"24°59'46""N 121°29'17""E",2026/1/6,2602
20367365,近中和捷運站【超值溫馨大套房】@獨立洗衣機@大空間@新裝潢,中和區景平路493巷,,16,1F/1F,16999,,圓通路口站 68公尺,仲介:詹先生,591_20367365.png,7,"24°59'51""N 121°29'59""E",2026/1/6,2602
20367345,近捷運中和站【超值溫馨套房】@寵物洽@獨立洗衣機@磚牆,中和區泰和街30巷,,5,1F/5F,12999,,中和站 309公尺,仲介:詹先生,591_20367345.png,7,"25°0'6""N 121°29'55""E",2026/1/6,2602
20459800,中和府中♦️傢俱齊全♦️變頻冷暖♦️浴室暖風機,中和區市民街,,3.5,2F/4F,15000,,民德路口站 131公尺,仲介:簡小姐,591_20459800.png,7,"25°0'5""N 121°28'4""E",2026/1/6,2602
20436229,近遠東.垃圾代收.逃生窗.租屋補助.限女,中和區員山路148巷42號,,6,2F/5F,8800,,二八張[新巴士]站 129公尺,屋主:姚小姐,591_20436229.png,7,"24°59'50""N 121°28'57""E",2026/1/6,2602
20308339,租補洽🔥3分鐘雙和醫院✦中和站✦致理首選✦採光✦獨立曬衣區,中和區連城路347巷,,6,1F/5F,8995,,中正里一站 13公尺,仲介:郭先生,591_20308339.png,7,"24°59'39""N 121°29'13""E",2026/1/6,2602
15826295,🔥5分鐘中和站✦華中橋✦可養貓咪✦採光大空間✦廁所開窗,中和區福美路,,8,,10999,,中和站 235公尺,仲介:郭先生,591_15826295.png,7,"25°0'15""N 121°29'46""E",2026/1/6,2602
19088354,貓🔥3分鐘南勢角站✦三面採光✦1房1廳✦廁所窗✦獨立洗衣機,中和區景平路239巷,1房,12,5F/5F,13999,,捷運景安站 495公尺,仲介:郭先生,591_19088354.png,7,"24°59'31""N 121°30'34""E",2026/1/6,2602
20324940,租補🔥5分鐘景安站✦雙面採光大空間✦獨立洗衣機✦獨立曬衣,中和區明仁街,,7,4F/4F,12999,,景安站 300公尺,仲介:郭先生,591_20324940.png,7,"24°59'44""N 121°30'23""E",2026/1/6,2602
20303909,🔥府中站✦採光大空間✦獨立洗衣機✦獨立曬衣區✦乾溼分離,中和區民生街,,6,1F/5F,11799,,德光路站 151公尺,仲介:郭先生,591_20303909.png,7,"25°0'19""N 121°28'11""E",2026/1/6,2602
19232540,獨家🔥近雙和醫院✦拎包即刻入住✦小資族首選✦飲水機,中和區員山路,,8.5,5F/6F,7999,,中和高中(員山路)站 15公尺,仲介:郭先生,591_19232540.png,7,"24°59'46""N 121°28'51""E",2026/1/6,2602
20300723,🔥1分鐘景平站✦秀朗橋✦小資學生首選✦廁所開窗✦變頻冷氣,中和區景平路111巷,,6,2F/5F,8999,,景平路大勇街口站 45公尺,仲介:郭先生,591_20300723.png,7,"24°59'30""N 121°30'60""E",2026/1/6,2602
20432702,🔥中原站✦華中橋✦超值大空間✦變頻冷氣✦垃圾代收,中和區莒光路,,10,5F/5F,10399,,德光路口站 75公尺,仲介:郭先生,591_20432702.png,7,"25°0'17""N 121°28'19""E",2026/1/6,2602
20408419,安靜、生活機能便利。樓下就是公車站。,中和區員山路139號,,5,5F/5F,10000,,,屋主:魏女士,591_20408419.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20454231,中和忠孝街全新裝潢變頻冷氣獨立陽台洗衣機,中和區忠孝街39號,,15,,17000,,放生寺站 67公尺,屋主:廖志鴻,591_20454231.png,7,"24°59'4""N 121°30'43""E",2026/1/6,2602
20313114,中和泰和街時尚套房,中和區泰和街30巷,,6,1F/5F,12500,,中和站 309公尺,屋主:陳先生,591_20313114.png,7,"25°0'6""N 121°29'55""E",2026/1/6,2602
20447857,積穗國小【超值租案】採光優★飲水機★小資首選,中和區員山路,,5,5F/5F,9997,,中和高中(員山路)站 15公尺,仲介:鄭先生,591_20447857.png,7,"24°59'46""N 121°28'51""E",2026/1/6,2602
20333988,捷運永安市場【超值租案】限女★採光★衛浴開窗,中和區水源路,,5,5F/5F,10998,,,仲介:鄭先生,591_20333988.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20341854,捷運景安站【優質租案】獨洗★流理臺★獨立陽台,中和區板南路,,7,4F/4F,11500,,,仲介:陳先生,591_20341854.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20334125,捷運景平站5分【優質租案】可補助★對外窗★衛浴開窗,中和區大智街,,5,4F/5F,14499,,,仲介:鄭先生,591_20334125.png,7,"0°0'0""N 0°0'0""E",2026/1/6,2602
20353053,捷運南勢角【優質租案】免爬梯★垃圾代收★獨洗衣機,中和區景平路,,10,1F/5F,15999,,捷運景平站 60公尺,仲介:鄭先生,591_20353053.png,7,"24°59'33""N 121°30'57""E",2026/1/6,2602
