案件編號,標題,地址,房型,坪數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20350952,秀朗橋捷運高樓景觀兩房新裝潢,中和區成功路137號,2房,17.7,1F/1F,35000,,秀朗橋站 248公尺,屋主:許先生,591_20350952.png,7,"24°59'30""N 121°31'37""E",2026/1/10,2602
20476803,⭐屋主自租⭐免仲介費！全新裝潢！第一手拎包入住！,中和區景平路,2房,16,2F/12F,26500,,秀朗橋站 414公尺,屋主:王先生,591_20476803.png,7,"24°59'30""N 121°31'16""E",2026/1/10,2602
20470545,可租補/電梯高樓/2房+書房/全配住宅,中和區中正路273號,3房,23,22F/23F,28000,,力行里站 54公尺,屋主:黃先生,591_20470545.png,7,"24°59'37""N 121°29'44""E",2026/1/10,2602
20446414,永慶溱娜🍀漢皇欽禾全新質感2房車,中和區中正路839巷,2房,15.74,11F/25F,33000,,中原里站 98公尺,仲介:羅王小姐,591_20446414.png,7,"25°0'9""N 121°29'2""E",2026/1/10,2602
20311408,乾淨溫馨住家,中和區圓通路299巷30號,2房,30,7F/13F,38000,,圓通路口站 6公尺,屋主:康小姐,591_20311408.png,7,"24°59'49""N 121°29'60""E",2026/1/10,2602
20369710,漢寶捷運學府NO.3、三房兩廳。,中和區民利街61巷,3房,34,7F/13F,34000,,民安街[新巴士]站 173公尺,屋主:蔡先生,591_20369710.png,7,"24°59'54""N 121°28'44""E",2026/1/10,2602
20486493,景安😍租補報稅入籍～可貓狗2房雙陽台採光收垃圾包裹,中和區中正路17巷,2房,23.42,21F/22F,28000,,捷運景安站 348公尺,仲介:洪小姐,591_20486493.png,7,"24°59'32""N 121°30'5""E",2026/1/10,2602
20315423,雅璞心向♥️景平捷運♥️電梯兩房♥️可寵♥️有車位,中和區景平路,2房,24.9,12F/15F,34000,兩個月,景平路大勇街口站 25公尺,仲介:租管劉先生,591_20315423.png,7,"24°59'31""N 121°30'60""E",2026/1/10,2602
20485825,P2579永安市場❤️獨棟溫馨舒心3房,中和區保平路,3房,29.95,4F/7F,25000,,水源路口[新巴士]站 23公尺,仲介:德鄰租屋,591_20485825.png,7,"25°0'14""N 121°30'25""E",2026/1/10,2602
20485819,圓通路華廈🍎電梯4房大空間🍎景安站.中和國小,中和區圓通路,4房,39.04,3F/7F,38000,,景安站 620公尺,仲介:林姸君,591_20485819.png,7,"24°59'53""N 121°30'5""E",2026/1/10,2602
20484109,稀有釋出！摩登全新裝潢正3房！可寵可租補,中和區中正路17巷,3房,27.69,12F/22F,42000,,捷運景安站 162公尺,仲介:陳先生,591_20484109.png,7,"24°59'36""N 121°30'11""E",2026/1/10,2602
20456861,社宅租補💰南勢角捷運站8分鐘、景平10分鐘🚉電梯中和國中,中和區忠孝街,3房,26.6,4F/7F,28000,,三介廟站 18公尺,仲介:張先生,591_20456861.png,7,"24°59'17""N 121°30'47""E",2026/1/10,2602
20485317,近捷運中和◆採光3房◆可租補入籍★電梯管理,中和區連城路,3房,28,4F/14F,35999,,中和站 468公尺,仲介:江先生,591_20485317.png,7,"24°59'53""N 121°29'42""E",2026/1/10,2602
20215108,兆基社會住宅🏡秀朗橋站💙近學區交通便利/可租補,中和區成功路,3房,27.03,23F/33F,28500,,秀朗橋站 104公尺,仲介:黃小姐,591_20215108.png,7,"24°59'26""N 121°31'33""E",2026/1/10,2602
20185622,兆基社會住宅🏡中和華新街🎉1房1廳🎉電梯大樓🎈近華夏,中和區華新街109巷,1房,9.16,13F/13F,16000,,華新街站 120公尺,仲介:林先生,591_20185622.png,7,"24°59'0""N 121°30'25""E",2026/1/10,2602
20415942,兆基社會住宅🏡基泰和里ABC棟-3房、採光佳-可租補,中和區自立路,3房,27.46,8F/8F,30000,,秀朗橋站 302公尺,仲介:林小姐,591_20415942.png,7,"24°59'30""N 121°31'21""E",2026/1/10,2602
20438539,景新街電梯2+1美房⭐️近景安站⭐️免仲介費可租補⭐️,中和區景新街,3房,25,5F/11F,28000,,中和派出所站 27公尺,代理人:蕭小姐,591_20438539.png,7,"24°59'58""N 121°30'11""E",2026/1/10,2602
20485158,景安路💛親民價格/3房2廳2衛三面採光獨立電梯一層一戶,中和區景安路,3房,63,8F/8F,48800,,安和路口站 17公尺,仲介:張先生,591_20485158.png,7,"24°59'53""N 121°30'25""E",2026/1/10,2602
20354283,喬陽社宅+宜居首選🌸超美裝潢🌸採光通風佳,中和區員山路22號,3房,21.49,7F/7F,30000,,灰磘[新巴士]站 169公尺,仲介:呂小姐,591_20354283.png,7,"24°59'7""N 121°29'6""E",2026/1/10,2602
20354209,喬陽社宅+超值房源💎精緻~免仲介費💎可租補,中和區員山路22號,3房,21.94,7F/7F,30000,,灰磘[新巴士]站 169公尺,仲介:呂小姐,591_20354209.png,7,"24°59'7""N 121°29'6""E",2026/1/10,2602
20463788,美樂*橋和站*好市多*遠東園區*空屋3房*積穗國小*垃圾代收,中和區建康路,3房,33.03,6F/9F,29999,,橋和站 585公尺,仲介:朱先生,591_20463788.png,7,"25°0'1""N 121°29'13""E",2026/1/10,2602
20484969,近捷運中和【電梯3房2衛】可補助★可入籍★房皆有窗,中和區連城路,3房,27,4F/14F,36000,,中和站 491公尺,仲介:鄭先生,591_20484969.png,7,"24°59'52""N 121°29'41""E",2026/1/10,2602
20319877,(可租補)翔之譽高樓兩房車位/近永安捷運四號公園,中和區水源路132巷,2房,29.83,25F/26F,38000,,中山路口站 694公尺,仲介:林先生,591_20319877.png,7,"25°0'9""N 121°30'30""E",2026/1/10,2602
20470632,中和🏠可寵/正三房格局方正/採光通風獨立陽台/台水,中和區景平路,3房,30.9,4F/12F,35000,,中和站 88公尺,仲介:陳先生,591_20470632.png,7,"25°0'10""N 121°29'44""E",2026/1/10,2602
20470447,板新🏠裝潢精美大空間/採光通風獨洗曬/獨立露台/環球機能佳,中和區中山路三段,5房,40,,50000,,瑞穗里站 201公尺,仲介:陳先生,591_20470447.png,7,"25°0'30""N 121°28'26""E",2026/1/10,2602
20483240,中和🏠可租補報稅/採光通風正三房雙陽台/包裹垃圾代收/機能,中和區連城路,3房,28.86,4F/14F,36000,,中和站 468公尺,仲介:陳先生,591_20483240.png,7,"24°59'53""N 121°29'42""E",2026/1/10,2602
20352230,🏠中和區|離城不離塵(雙和湯泉),中和區員山路,2房,23.6,2F/7F,26000,,,仲介:林小姐,591_20352230.png,7,"0°0'0""N 0°0'0""E",2026/1/10,2602
20366629,社會住宅/可租補、報稅/雙和醫院/坡平車/員山路景觀電梯3房,中和區員山路,3房,22.32,4F/7F,32000,,灰磘[新巴士]站 169公尺,仲介:王小姐,591_20366629.png,7,"24°59'7""N 121°29'6""E",2026/1/10,2602
20404697,可租補、報稅/全新邊間景觀住宅/雙和醫院/員山路電梯三房,中和區員山路,3房,21.49,7F/7F,33000,,灰磘[新巴士]站 76公尺,仲介:王小姐,591_20404697.png,7,"24°59'4""N 121°29'3""E",2026/1/10,2602
20398552,社會住宅/可租補、報稅/全新邊間景觀住宅/雙和醫院/電梯三房,中和區員山路,3房,22.63,7F/7F,30000,,灰磘[新巴士]站 169公尺,仲介:王小姐,591_20398552.png,7,"24°59'7""N 121°29'6""E",2026/1/10,2602
20483304,中和環球🎵德光生活圈｜採光🎶傢俱全配溫馨3+1房🌈,中和區德光路,4房,29.83,5F/15F,33000,,德光路口站 52公尺,仲介:陳小姐,591_20483304.png,7,"25°0'18""N 121°28'16""E",2026/1/10,
20021510,易居社宅✨稀有樓中樓三房出租｜高樓視野佳｜近景平捷運,中和區景平路,3房,26.45,14F/25F,24400,,南勢角(景平路)站 77公尺,仲介:許小姐,591_20021510.png,7,"24°59'34""N 121°30'49""E",2026/1/10,
20310154,蒲陽金鑽大三房,中和區中正路,3房,41.47,7F/12F,36000,,中和國民運動中心站 27公尺,仲介:陳先生,591_20310154.png,7,"24°59'40""N 121°29'21""E",2026/1/10,
20419881,💜景平恬居電梯套房/樓中樓/台水台電/大儲藏室空間/可貓,中和區景平路,1房,18.6,12F/22F,21500,,景平路景德街口站 132公尺,代理人:凱莉小姐,591_20419881.png,7,"24°59'26""N 121°31'7""E",2026/1/10,
20452774,【樸和】可租補!!源力時代🍎裝潢質感⚡稀有電梯兩房平面車位,中和區員山路,2房,27.42,2F/18F,32500,,員山站 153公尺,仲介:林隆昌,591_20452774.png,7,"25°0'8""N 121°28'52""E",2026/1/10,
20483818,太陽帝國高樓美景二改一,中和區景新街,1房,19.24,35F/36F,29000,,南勢角(景平路)站 84公尺,代理人:李小姐,591_20483818.png,7,"24°59'30""N 121°30'46""E",2026/1/10,
