案件編號,標題,地址,房型,坪數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20399492,近永安捷運⭐誠可議，可短租，中英雙語超優質共生宅套房,中和區中山路二段,,7,14F/14F,16500,,,代理人:游先生,591_20399492.png,1,"0°0'0""N 0°0'0""E",2026/1/10,2602
20415808,永安捷運站30秒四號公園圖書館1分鐘,中和區中和路,,9,5F/12F,17000,,捷運永安市場站 39公尺,屋主:陳小姐,591_20415808.png,1,"25°0'8""N 121°30'39""E",2026/1/10,2602
20458044,📍挑高獨立套房/樓中樓格局👍捷運正對面,中和區景平路,,12,34F/41F,19500,,捷運景平站 61公尺,屋主:黃先生,591_20458044.png,1,"24°59'34""N 121°31'1""E",2026/1/10,2602
20416295,✅【可請租金補助】永安捷運旁/電梯大樓/大氣密窗、中和路,中和區宜安路171號,,9,11F/12F,15000,,華泰新城站 80公尺,代理人:盧先生,591_20416295.png,1,"24°59'58""N 121°30'30""E",2026/1/10,2602
20397007,近COSTCO中和中山路寬敞大套房,中和區中山路二段369號,,11,10F/10F,11000,,橋和站 251公尺,屋主:林小姐,591_20397007.png,1,"25°0'17""N 121°29'17""E",2026/1/10,2602
20432364,✅【可請租金補助】永安捷運旁/電梯/陽台/落地窗、中和路,中和區宜安路171號,,9,9F/12F,16000,,華泰新城站 80公尺,代理人:許小姐,591_20432364.png,1,"24°59'58""N 121°30'30""E",2026/1/10,2602
8659275,美麗永安捷運共構大廈，生活機能超優社區,中和區中和路390號,,14.18,7F/21F,21000,,捷運永安市場站 25公尺,屋主:陳小姐,591_8659275.png,1,"25°0'8""N 121°30'39""E",2026/1/10,2602
20405709,近比樣廣場👍.超美採光電梯房👍24小時管理員👍,中和區中山路二段,,10,12F/13F,21000,,,仲介:黃先生,591_20405709.png,1,"0°0'0""N 0°0'0""E",2026/1/10,2602
20414226,橋和站/可補助、入籍/包裹垃圾袋收/近好市多,中和區建八路,,12,3F/14F,22000,,中和站 490公尺,仲介:陳先生,591_20414226.png,1,"25°0'0""N 121°29'29""E",2026/1/10,2602
20442639,兆基社會住宅🏡中和美麗景安✨秒殺套房🎀,中和區景平路,,7.94,16F/19F,19900,,景安站 46公尺,仲介:林先生,591_20442639.png,1,"24°59'37""N 121°30'17""E",2026/1/10,2602
20468443,秀朗橋捷運站優質套房✨水泥隔間✨租金含電,中和區成功路,,6,,9800,,秀朗橋站 131公尺,仲介:張先生,591_20468443.png,1,"24°59'28""N 121°31'33""E",2026/1/10,2602
