案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20363925,#僅剩一間#免爬梯中和保健優質獨立套房靜巷,中和區保健路,,5,1F/4F,10800,,永安市場站 582公尺,屋主:黃先生,591_20363925.png,1,"24°59'51""N 121°30'32""E",2026-01-18,2603
20360112,"四樓,景安永安捷運,美麗溫馨,大套房,陽台",中和區復興路280巷,,4,6F/6F,10500,,景安站 421公尺,屋主:林小姐,591_20360112.png,1,"24°59'48""N 121°30'27""E",2026-01-18,2603
20364701,"13000一次租正三房,雅房,適合單身上班族(不可開伙)",中和區中山路二段449巷1弄21號,,20,4F/4F,13000,,,屋主:郭小姐,591_20364701.png,1,"0°0'0""N 0°0'0""E",2026-01-18,2603
20507461,近遠東園區/公車站/2樓獨立套房,中和區錦和路,,6,2F/3F,15000,,建一路站 176公尺,屋主:林先生,591_20507461.png,1,"24°59'53""N 121°29'22""E",2026-01-18,2603
20448493,景安捷運典雅風套房出租,中和區圓通路,,6,4F/4F,11500,,圓通景平路口站 35公尺,屋主:孫先生,591_20448493.png,1,"24°59'50""N 121°30'1""E",2026-01-18,2603
20502550,可租補✿低樓層套房✿近捷運中和站✿華中橋✿體育場,中和區景平路753巷,,8,1F/5F,14955,,中和站 240公尺,仲介:許小姐,591_20502550.png,1,"25°0'16""N 121°29'47""E",2026-01-18,2603
20424563,✿可租補✿台電✿全新裝潢✿遠東世紀廣場,中和區連城路319巷,1房,10,4F/4F,15931,,錦和路站 40公尺,仲介:許小姐,591_20424563.png,1,"24°59'43""N 121°29'23""E",2026-01-18,2603
20359406,"景安永安捷運,美麗溫馨,有陽台",中和區復興路280巷,,4,4F/6F,10500,,景安站 406公尺,屋主:何小姐,591_20359406.png,1,"24°59'48""N 121°30'26""E",2026-01-18,2603
20536247,『近遠東ABC』優質溫馨小窩,中和區員山路266巷,,7,5F/5F,10000,,民樂郵局[新巴士]站 93公尺,代理人:謝先生,591_20536247.png,1,"25°0'7""N 121°28'55""E",2026-01-18,2603
20533233,南勢角超新設備大窗採光溫馨套房,中和區興南路二段54巷,,7,6F/6F,10800,,華新街口站 94公尺,屋主:邱先生,591_20533233.png,1,"24°59'8""N 121°30'22""E",2026-01-18,2603
20377241,秀山國小旁2樓高雅套房,中和區自立路,,6,2F/5F,11500,,秀朗橋站 501公尺,屋主:陳太太,591_20377241.png,1,"24°59'38""N 121°31'20""E",2026-01-18,2603
20538091,近景安捷運.低租金.傢俱全.有陽台屋美.陽光足,中和區中興街,,9.5,5F/5F,14900,,捷運景安站 518公尺,屋主:魏先生,591_20538091.png,1,"24°59'29""N 121°29'59""E",2026-01-18,2603
20378711,全新2樓免爬高近永安捷運站,中和區水源路133巷,,10,2F/2F,18000,,永安市場站 289公尺,仲介:黃小姐,591_20378711.png,1,"25°0'14""N 121°30'32""E",2026-01-18,2603
20423438,遠東世紀套房，可租補，首月半價。,中和區連城路,,7,4F/5F,11000,,瓏山林台北中和飯店站 132公尺,屋主:Wendy,591_20423438.png,1,"24°59'46""N 121°29'10""E",2026-01-18,2603
20156778,通風採光佳居家空間便利生活圈近南勢角捷運站,中和區景新街410巷,,5.5,5F/5F,13500,,南勢角站 344公尺,代理人:徐先生,591_20156778.png,1,"24°59'21""N 121°30'44""E",2026-01-18,2603
20407655,景安站.獨立陽台.明亮空間設計感兩房一廳,中和區景新街295巷,2房,18,5F/5F,23888,,南勢角站 411公尺,代理人:曾小姐,591_20407655.png,1,"24°59'37""N 121°30'39""E",2026-01-18,2603
20401580,公主奢華大套房好空氣公園旁不用走樓梯難得出租,中和區員山路,1房,8,2F/4F,11000,,員山公園站 18公尺,屋主:陳先生,591_20401580.png,1,"25°0'15""N 121°28'50""E",2026-01-18,2603
20496235,全新2樓永安捷運溫馨乾淨超豪華裝潢設備,中和區水源路133巷,,13,1F/2F,22000,,永安市場站 289公尺,仲介:黃小姐,591_20496235.png,1,"25°0'14""N 121°30'32""E",2026-01-18,2603
20456518,㊝1房1廳空間舒適║獨立廚房陽台寬敞║北漂新生活║鄰近夜市㊝,中和區員山路202號,1房,10,4F/4F,22000,,積穗國中站 12公尺,屋主:程先生,591_20456518.png,1,"25°0'2""N 121°28'53""E",2026-01-18,2603
20455651,#捷運步行一分鐘雅房,中和區中和路378巷,,5,5F/6F,5750,,永安市場站 134公尺,屋主:張女士,591_20455651.png,1,"25°0'4""N 121°30'39""E",2026-01-18,2603
20512918,中和小資族首選❤️全新裝潢.全聯旁.對外窗.採光佳,中和區福祥路,,6,2F/4F,10999,,中和站 488公尺,仲介:魏小姐,591_20512918.png,1,"25°0'21""N 121°29'56""E",2026-01-18,2603
20489000,近興南夜市/租屋補助/獨立洗衣機/免爬梯/幽靜套房,中和區景新街467巷,,4,1F/5F,10999,,南勢角站 674公尺,仲介:黃先生,591_20489000.png,1,"24°59'10""N 121°30'50""E",2026-01-18,2603
20040921,可提供短租不加價~可養寵物房~免爬高樓層~水泥磚牆,中和區景新街467巷,,6,3F/4F,9500,,景平站 495公尺,仲介:莊先生,591_20040921.png,1,"24°59'18""N 121°30'50""E",2026-01-18,2603
20514947,可提供短租~可養寵物~採光通風佳~免爬高樓層,中和區華新街234巷,1房,8,2F/5F,11999,,竹林中學[新巴士]站 61公尺,仲介:莊先生,591_20514947.png,1,"24°58'54""N 121°30'21""E",2026-01-18,2603
19761789,提供短租不加價~可養寵物房~免爬高樓層~生活機能便利,中和區大智街,,6,2F/5F,9999,,秀朗橋站 349公尺,仲介:莊先生,591_19761789.png,1,"24°59'32""N 121°31'20""E",2026-01-18,2603
20515656,捷運中和【超值租案】補助洽★流理台★獨洗衣機,中和區福祥路,,6,4F/5F,14999,,中和站 394公尺,仲介:鄭先生,591_20515656.png,1,"25°0'14""N 121°29'58""E",2026-01-18,2603
20530432,南勢角站/小資首選/採光通風/生活機能佳,中和區宜安路,,5,,8380,,景平站 478公尺,仲介:黃先生,591_20530432.png,1,"24°59'40""N 121°30'45""E",2026-01-18,2603
20394393,遠東世紀廣場【超值租案】對外窗★獨洗衣機★小資首選,中和區連城路,,5,4F/5F,8500,,連城路站 12公尺,仲介:薛先生,591_20394393.png,1,"24°59'45""N 121°29'0""E",2026-01-18,2603
20468333,後埔國小【超值租案】可補助★低樓層★獨洗衣機,中和區市民街,,8,2F/5F,16000,,民德路口站 131公尺,仲介:薛先生,591_20468333.png,1,"25°0'5""N 121°28'4""E",2026-01-18,2603
20509010,遠東世紀廣場【優質租案】獨洗★多面採光★獨立衛浴,中和區新生街,,5,5F/5F,12499,,新生街[新巴士]站 21公尺,仲介:薛先生,591_20509010.png,1,"24°59'59""N 121°29'2""E",2026-01-18,2603
20445867,🏠景安站🌈溫馨舒適🍎小資首選⭐️家具齊全搶約,中和區圓通路,,7,4F/4F,12500,,圓通景平路口站 48公尺,仲介:吳小姐,591_20445867.png,2,"24°59'47""N 121°29'59""E",2026-01-18,2603
20441139,沃盛睿達｜雅房可租補｜永安市場站全新極簡風2樓共生,中和區南工路94巷,4房,4,2F/5F,11800,,永安市場站 439公尺,仲介:楊小姐,591_20441139.png,3,"25°0'8""N 121°30'24""E",2026-01-18,2603
20421311,中和站大全聯套房2F/獨立進出/全新節能傢電/可租補,三重區-重陽路三段130號,,7,2F/5F,13800,,中和站 529公尺,仲介:林女士,591_20421311.png,3,"25°0'19""N 121°30'0""E",2026-01-18,2603
20386762,近南勢角捷運、興南夜市高優質套房,中和區景新街496巷,,8,1F/5F,8500,,,屋主:江太太,591_20386762.png,3,"0°0'0""N 0°0'0""E",2026-01-18,2603
20455724,❤️降價了⭐全新裝修⭐環球百貨旁✅稀有一房一廳一陽台✅,中和區中山路二段523巷,1房,7,5F/5F,18500,,中原站 560公尺,仲介:林小姐,591_20455724.png,3,"25°0'14""N 121°28'54""E",2026-01-18,2603
20398194,景安站靜巷內公寓頂樓獨立進出套房(無租補),中和區南山路127巷,,10,5F/5F,10000,,景安站 445公尺,屋主:洪小姐,591_20398194.png,3,"24°59'51""N 121°30'11""E",2026-01-18,2603
20437939,"近遠東世紀廣場,生活機能佳~獨立套房",中和區連城路265巷,,5,5F/5F,7000,,台貿一村站 94公尺,屋主:張先生,591_20437939.png,3,"24°59'47""N 121°29'29""E",2026-01-18,2603
20533163,🍎小資首選/超值溫馨小套房/近景安捷運站/採光佳,中和區圓通路,,7,4F/4F,12500,,圓通景平路口站 35公尺,仲介:黃先生,591_20533163.png,3,"24°59'50""N 121°30'1""E",2026-01-18,2603
20497163,捷運站陽台電梯套房（可寵）,中和區景平路111巷60弄9號,,12,2F/7F,19000,,景平站 220公尺,代理人:曹小姐,591_20497163.png,3,"24°59'27""N 121°30'53""E",2026-01-18,2603
20524581,☀️免追垃圾車．正1房1廳☀️獨立廚房/智能洗脫(可租補),中和區員山路146巷,1房,12,5F/5F,17500,,灰磘[新巴士]站 187公尺,屋主:張先生,591_20524581.png,3,"24°59'8""N 121°29'6""E",2026-01-18,2603
20231166,近南勢角站/獨立洗衣機/租屋補助/採光通風/新裝潢,中和區景新街,,5,2F/3F,12999,,南山高中(中和路)站 75公尺,仲介:黃先生,591_20231166.png,3,"24°59'57""N 121°30'16""E",2026-01-18,2603
20468822,（仲介勿擾）新北市中和區禁菸獨立套房近南勢角捷運,中和區安樂路39巷,,8,3F/4F,9000,2個月,南勢角站 416公尺,屋主:游先生,591_20468822.png,3,"24°59'35""N 121°30'41""E",2026-01-18,2603
20376192,2分鐘到南勢角捷運站交通超便利生活機能強,中和區復興路,,5,4F/4F,7800,,南勢角站 221公尺,屋主:張小姐,591_20376192.png,3,"24°59'26""N 121°30'25""E",2026-01-18,2603
20534097,獨立陽台洗衣機☀️採光大套房☀️自強公園/環球,中和區華安街17巷,,8,3F/4F,12000,,華福街口站 103公尺,仲介:杜小姐,591_20534097.png,3,"24°59'54""N 121°28'4""E",2026-01-18,2603
20539927,💕心心精選💕秒殺‼️環球精美套房💖,中和區民享街30巷,,6,5F/5F,8500,,民享市場[新巴士]站 36公尺,仲介:邱小姐,591_20539927.png,3,"25°0'13""N 121°28'25""E",2026-01-18,2603
20479676,景安捷運南華南山套房家電冷氣獨立洗衣機,中和區南山路,,9,5F/5F,12800,,景安站 260公尺,代理人:陳先生,591_20479676.png,3,"24°59'42""N 121°30'9""E",2026-01-18,2603
20475453,橋和站2分鐘｜通勤首選套房｜8000元實在價,中和區中山路二段,,6,4F/5F,8000,,橋和站 305公尺,屋主:周小姐,591_20475453.png,3,"25°0'18""N 121°29'15""E",2026-01-18,2603
20535114,永安市場捷運獨立洗衣機!裝潢新大套房,中和區中山路二段3巷,,8,3F/5F,9900,,中山路口站 417公尺,代理人:蔡先生,591_20535114.png,3,"25°0'20""N 121°30'22""E",2026-01-18,2603
20525882,環球百貨/獨立洗衣機/變頻冷氣/生活機能佳/,中和區民享街,1房,5,4F/5F,10999,,民享里[新巴士]站 147公尺,仲介:黃先生,591_20525882.png,3,"25°0'1""N 121°28'25""E",2026-01-18,2603
20431303,景安站暖色系套房~提供月短租!,中和區復興路249巷,,9,5F/5F,17000,,捷運景安站 452公尺,代理人:林先生,591_20431303.png,3,"24°59'21""N 121°30'11""E",2026-01-18,2603
20423096,捷運步行1分，睡飽再出門不遲到，台北通勤首選，適合學生上班族,中和區信義街11巷,,8,2F/5F,12000,,南勢角站 222公尺,屋主:林先生,591_20423096.png,3,"24°59'23""N 121°30'41""E",2026-01-18,2603
20507068,南勢角站/租屋補助/採光通風/飲水機/生活機能,中和區捷運路,,5,4F/4F,10499,,捷運景安站 294公尺,仲介:黃先生,591_20507068.png,3,"24°59'25""N 121°30'21""E",2026-01-18,2603
20523424,獨立套房-中和遠東園區走路3分鐘,獨立套房-中和遠東園區走路3分鐘,,10.5,2F/5F,18000,,心中市站 61公尺,屋主:莊先生,591_20523424.png,3,"24°59'49""N 121°29'6""E",2026-01-18,2603
20403007,永安捷運站5分鐘2樓採光套房,中和區宜安路,,7,2F/5F,12800,,,代理人:陳先生,591_20403007.png,3,"0°0'0""N 0°0'0""E",2026-01-18,2603
20536463,景安站/租補洽/獨立洗衣機陽台/乾濕分離/小資首選,中和區景安路,,4,4F/4F,10499,,景安站 467公尺,仲介:黃先生,591_20536463.png,3,"24°59'52""N 121°30'24""E",2026-01-18,2603
20490578,優質長租首選☺️屋主精心打造✨質感獨立·安靜隔音值得擁有✅,中和區連城路249巷,,10,5F/6F,18000,,中和站 630公尺,屋主:蔣女士,591_20490578.png,3,"24°59'48""N 121°29'38""E",2026-01-18,2603
20507109,屋主自租~環球溫馨套房,中和區民享街,,6,4F/5F,11000,,民享里[新巴士]站 73公尺,屋主:張小姐,591_20507109.png,3,"25°0'7""N 121°28'27""E",2026-01-18,2603
20494527,永安捷運優質採光溫馨陽台套房,中和區中和路262巷,,10,4F/4F,13500,,永安市場站 325公尺,屋主:陳先生,591_20494527.png,3,"24°59'58""N 121°30'38""E",2026-01-18,2603
20516040,景安站/獨立陽台獨立洗衣機/變頻冷暖空調/低樓層,中和區安平路18巷,,6,2F/4F,10000,,南勢角站 563公尺,仲介:林先生,591_20516040.png,3,"24°59'42""N 121°30'37""E",2026-01-18,2603
20394421,免佣）遠東世紀廣場【超值租案】對外窗★獨洗衣機★小資首選,中和區連城路,,5,4F/5F,8500,,連城路站 12公尺,仲介:薛小姐,591_20394421.png,4,"24°59'45""N 121°29'0""E",2026-01-18,2603
