案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20501691,優質社區(3+1)房,中和區民德路,3房,35,7F/16F,28800,,民德路口站 21公尺,屋主:陳先生,591_20501691.png,1,"25°0'7""N 121°28'8""E",2026-01-18,2603
20446414,永慶溱娜🍀漢皇欽禾全新質感2房車,中和區中正路839巷,2房,15.74,11F/25F,33000,,中原里站 98公尺,仲介:羅王小姐,591_20446414.png,1,"25°0'9""N 121°29'2""E",2026-01-18,2603
20534490,景觀質感採光電梯大兩房,中和區中正路272號,2房,21.62,17F/26F,27800,,雙和醫院(中正路)站 43公尺,代理人:林先生,591_20534490.png,1,"24°59'39""N 121°29'42""E",2026-01-18,2603
20541164,景安捷運5分鐘、裝潢,中和區景新街205號,1房,22,1F/1F,21500,,景安站 296公尺,屋主:許先生,591_20541164.png,1,"24°59'43""N 121°30'26""E",2026-01-18,2603
20523601,質感設計新裝潢｜兩房三冷氣｜乾溼分離浴室｜雙捷運5分,中和區景安路,2房,13,5F/7F,32000,2個月,景安站 366公尺,代理人:陳小姐,591_20523601.png,1,"24°59'49""N 121°30'22""E",2026-01-18,2603
20476803,⭐屋主自租⭐免仲介費！全新裝潢！第一手拎包入住！,中和區景平路,2房,16,2F/12F,26500,,秀朗橋站 414公尺,屋主:王先生,591_20476803.png,1,"24°59'30""N 121°31'16""E",2026-01-18,2603
20504258,📣新歐洲新婚首選兩房加車位,中和區中興街,2房,25,10F/15F,32000,,捷運景安站 582公尺,仲介:張先生,591_20504258.png,1,"24°59'24""N 121°29'59""E",2026-01-18,2603
20519136,捷運秀朗橋站旁，24小時保全，高樓層,中和區成功路131號,3房,26,33F/33F,29500,,秀朗橋站 90公尺,屋主:蕭先生,591_20519136.png,1,"24°59'25""N 121°31'33""E",2026-01-18,2603
20521212,"中和全新建案,裝潢新,全套傢俱家電,可租補,可寵,含管理費",中和區連城路,1房,21.75,22F/24F,30800,,中和高中站 115公尺,仲介:林小姐,591_20521212.png,1,"24°59'41""N 121°28'48""E",2026-01-18,2603
20535243,(優)雙和新城-溫馨舒適住家3+1房/兩衛,中和區圓通路198巷,3房,31.5,9F/10F,33500,,雙和醫院(中正路)站 48公尺,屋主:許先生,591_20535243.png,1,"24°59'38""N 121°29'42""E",2026-01-18,2603
20427713,【中和南山高中】捷運永安市場站七樓3+1房舒心採光宅,中和區廣福路,3房,31.2,7F/7F,35000,,,仲介:郭先生,591_20427713.png,1,"0°0'0""N 0°0'0""E",2026-01-18,2603
