案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20541173,大套房、景安捷運5分鐘/有二戶不適社宅,中和區景新街105號,,22,7F/7F,22000,,景安站 578公尺,屋主:許先生,591_20541173.png,1,"24°59'56""N 121°30'24""E",2026-01-18,2603
20503999,環球購物中心旁交通便利設備全可短租,中和區中山路三段114巷27號,,8,2F/5F,11000,,民富郵局[新巴士]站 146公尺,屋主:陳先生,591_20503999.png,1,"25°0'30""N 121°28'35""E",2026-01-18,2603
20415808,永安捷運站30秒四號公園圖書館1分鐘,中和區中和路,,9,5F/12F,17000,,永安市場站 40公尺,屋主:陳小姐,591_20415808.png,1,"25°0'7""N 121°30'39""E",2026-01-18,2603
20399492,近永安捷運⭐誠可議，可短租（年後），中英雙語超優質共生宅套房,中和區中山路二段,,7,14F/14F,16500,,中山路口站 534公尺,代理人:游先生,591_20399492.png,1,"25°0'19""N 121°30'16""E",2026-01-18,2603
20432364,✅【可請租金補助】永安捷運旁/電梯/陽台/落地窗、中和路,中和區宜安路171號,,9,9F/12F,16000,,永安市場站 440公尺,代理人:許小姐,591_20432364.png,1,"24°59'58""N 121°30'30""E",2026-01-18,2603
20524339,獨家🔥近景安站✦電梯大樓✦獨立陽台✦可補助✦垃圾代收,中和區景平路626巷2號,,8.8,2F/7F,12999,,景安站 643公尺,仲介:趙先生,591_20524339.png,1,"24°59'55""N 121°30'5""E",2026-01-18,2603
20496181,〈年前優惠〉中和站/電梯套房/獨洗/獨立陽台/廚房可開伙,中和區景平路788號,,8,12F/12F,14000,,中和站 432公尺,仲介:林先生,591_20496181.png,1,"25°0'22""N 121°29'45""E",2026-01-18,2603
20537951,獨家🔥近景安站✦採光大空間✦獨立洗✦垃圾代收✦可貓✦可補助,中和區景平路626巷,,8.8,2F/7F,15999,,南勢角站 428公尺,仲介:趙先生,591_20537951.png,1,"24°59'38""N 121°30'37""E",2026-01-18,2603
20525620,💯環球購物中心旁✨電梯套房❗️可報稅入籍.長約優惠首月半價,中和區中山路三段114巷,,10.4,5F/5F,21500,,環球購物中心站 132公尺,仲介:林小姐,591_20525620.png,1,"25°0'25""N 121°28'29""E",2026-01-18,2603
20459312,免佣）近捷運中原【超值租案】獨洗衣機★大空間★採光優,中和區新民街,,7,3F/4F,8800,,中原站 404公尺,仲介:薛小姐,591_20459312.png,1,"25°0'28""N 121°28'49""E",2026-01-18,2603
20496771,✨橋和站💯電梯優質房💎報稅入籍🧸可貓❗可短租❗首月半價,中和區中山路三段114巷,,10.38,5F/5F,21500,,民富郵局[新巴士]站 116公尺,仲介:王小姐,591_20496771.png,1,"25°0'28""N 121°28'32""E",2026-01-18,2603
