案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20463863,自租/永春/全新家具/高裝潢/鼎家/松山,信義區松山路287巷,2房,20,,39800,2個月,永春站 374公尺,代理人:江小姐,591_20463863.png,1,"25°2'37""N 121°34'42""E",2026-01-20,2604
20406060,虎林兩房美寓步行8分鐘直達信義計畫區,信義區虎林街164巷,2房,19.42,3F/5F,42800,,永春站 369公尺,屋主:張先生,591_20406060.png,1,"25°2'18""N 121°34'26""E",2026-01-20,2604
20405843,屋主自租捷運廣慈3分鐘分新裝潢兩房採光房,信義區林口街24巷,2房,13,4F/4F,34600,,永春站 559公尺,屋主:曾小姐,591_20405843.png,1,"25°2'16""N 121°34'50""E",2026-01-20,2604
20469489,辧公倉庫店面住家,信義區大道路49巷6號,2房,45,,45000,,後山埤站 374公尺,屋主:魏先生,591_20469489.png,1,"25°2'30""N 121°34'57""E",2026-01-20,2604
20365688,捷運市府站旁。可短租/可租補/可開火,信義區忠孝東路五段31巷,3房,40,3F/5F,8500,,市政府站 67公尺,屋主:黃先生,591_20365688.png,1,"25°2'30""N 121°34'1""E",2026-01-20,2604
20426912,🏠信義區溫馨三房33坪可貓狗大空間,信義區福德街268巷,3房,33,5F/5F,30000,,中行里站 49公尺,屋主:柯先生,591_20426912.png,1,"25°2'24""N 121°35'7""E",2026-01-20,2604
20519679,五分埔商圈✅近松山車站💯全新裝潢包水瓦斯可合租,信義區松山路119巷,2房,30,,38000,,松山站 311公尺,仲介:許小姐,591_20519679.png,1,"25°2'50""N 121°34'44""E",2026-01-20,2604
20410129,可雙租補-北漂松山站/一房一廳/獨洗-沙發-大冰箱-大電視,信義區松山路,,9,,13988,,松山站 154公尺,仲介:請+賴/值勤員,591_20410129.png,1,"25°2'55""N 121°34'42""E",2026-01-20,2604
20488862,靜巷世外大空間,信義區吳興街600巷,3房,42.4,2F/5F,27000,,糶米公園站 67公尺,仲介:吳r(請來電或訊息),591_20488862.png,1,"25°1'5""N 121°34'21""E",2026-01-20,2604
20553373,❤️友善屋源❤️社宅⭐吳興北醫⭐可租補⭐免仲介費⭐加line,信義區吳興街284巷,3房,22.69,3F/4F,25000,,南京三民站 332公尺,仲介:曾先生,591_20553373.png,1,"25°3'9""N 121°33'39""E",2026-01-20,2604
