案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20494442,江子翠捷運🌴2房2廳1衛1大陽台出租🌴可寵貓🌴垃圾代收,板橋區民治街61巷,2房,33,,31800,2個月,海山拖吊場站 251公尺,屋主:王女士,591_20494442.png,1,"25°2'0""N 121°28'50""E",2026-01-19,2604
20419194,可寵✿瓦斯熱水器✿超大有雨遮露台✿,板橋區瑞安街59巷,2房,25,6F/6F,17933,,港尾站 93公尺,屋主:賴先生,591_20419194.png,1,"25°1'18""N 121°27'18""E",2026-01-19,2604
20472362,【府中雙捷運｜超大陽台】每房皆有窗＋獨立雙房,板橋區重慶路290巷,2房,16,,16000,,重慶國中站 188公尺,屋主:郭小姐,591_20472362.png,1,"24°59'57""N 121°27'44""E",2026-01-19,2604
20510968,TT✿台電✿可租補✿亞東醫院✿兩房大空間✿全新裝潢✿,板橋區大觀路二段265巷,2房,20,5F/6F,21900,,福安里站 45公尺,仲介:麥先生,591_20510968.png,1,"24°59'49""N 121°26'29""E",2026-01-19,2604
20397253,板橋大遠百旁1樓寬店面/住家近板橋捷運站、板橋火車站,板橋區漢生東路131巷,4房,25.06,1F/1F,58000,,板橋站 355公尺,屋主:林先生,591_20397253.png,1,"25°0'52""N 121°28'5""E",2026-01-19,2604
20415150,可租補♥︎板橋府中捷運站♥︎館前♥︎重慶路♥︎,板橋區重慶路93巷,2房,20,5F/5F,19942,,府中站 469公尺,仲介:許小姐,591_20415150.png,1,"25°0'21""N 121°27'47""E",2026-01-19,2604
20374514,板橋車站旁公寓三樓,板橋區漢生東路43巷,3房,27.49,3F/5F,30000,,板橋站 219公尺,屋主:郭女士,591_20374514.png,1,"25°1'1""N 121°27'57""E",2026-01-19,2604
20430190,低樓層浮州車站750m鄰近龍興商圈生活機能強通風採光優對外窗,板橋區大觀路二段365巷,1房,12,2F/5F,17800,,中山實小站 103公尺,屋主:陳先生,591_20430190.png,1,"25°0'12""N 121°26'49""E",2026-01-19,2604
20446556,（已租出去）板橋近捷運站有陽光的住家,板橋區文化路548巷37號,,18,,13000,,板橋站 183公尺,屋主:鄭女士,591_20446556.png,1,"25°0'44""N 121°27'43""E",2026-01-19,2604
20419582,住家3樓板橋龍泉,板橋區龍泉街82巷4號,3房,36,3F/3F,28000,,名來新城(綠堤街)站 59公尺,屋主:王小姐,591_20419582.png,1,"25°1'30""N 121°27'20""E",2026-01-19,2604
10551087,板橋房板橋1房1客廳1書房1陽台,板橋區僑中一街,1房,22,6F/6F,15000,,歡仔園站 74公尺,屋主:周小姐,591_10551087.png,1,"25°0'43""N 121°26'44""E",2026-01-19,2604
20418976,可寵✿可租補✿瓦斯熱水器✿前後陽台✿雙衛浴✿超大空間,板橋區瑞安街59巷,3房,30,5F/6F,17833,,港尾站 93公尺,仲介:許小姐,591_20418976.png,1,"25°1'18""N 121°27'18""E",2026-01-19,2604
20541862,【屋主自租】整層大套房，一卡皮箱入住,板橋區信義路207號,2房,19,5F/5F,18000,,四汴頭站 12公尺,屋主:游小姐,591_20541862.png,1,"24°59'30""N 121°27'34""E",2026-01-19,2604
20509645,通風採光極佳🍀大3房交通便利,板橋區民族路170巷,3房,30,4F/5F,25000,,電信訓練所站 76公尺,屋主:陳小姐,591_20509645.png,1,"25°0'27""N 121°28'2""E",2026-01-19,2604
