案件編號,標題,地址,房型,坡數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,年週
20377386,可租補✿台電✿華中橋✿捷運中和站✿樓下就有7-11,中和區景平路,2房,16,4F/5F,19933,,中和站 268公尺,仲介:麥先生,591_20377386.png,1,"25°0'17""N 121°29'47""E",2026-01-18,2603
20458611,近中和大潤發/3房公寓/機能好,中和區福美路6號,3房,30,6F/6F,26000,,中和站 383公尺,屋主:許先生,591_20458611.png,1,"25°0'18""N 121°29'54""E",2026-01-18,2603
20354126,近永平學區巷弄安靜超商便利,近永平學區巷弄安靜超商便利,3房,29,5F/5F,21000,,保順里[新巴士]站 84公尺,屋主:黃先生,591_20354126.png,1,"25°0'26""N 121°30'5""E",2026-01-18,2603
20390223,方正三房.採光佳.鄰公園💕全新整修.可租補.夫妻優惠,中和區中山路二段,3房,25.41,4F/5F,22000,,中和站 282公尺,屋主:林先生,591_20390223.png,1,"25°0'8""N 121°29'56""E",2026-01-18,2603
20384322,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間兩房♥︎,中和區大勇街29巷,2房,20,4F/5F,23979,,景平站 281公尺,仲介:許小姐,591_20384322.png,1,"24°59'40""N 121°30'55""E",2026-01-18,2603
20456069,可租補♥︎橋和捷運站♥︎遠東世紀♥︎兩房機車族首選♥︎,中和區中正路839巷2號,2房,20,5F/5F,19910,,中原站 483公尺,仲介:許小姐,591_20456069.png,1,"25°0'15""N 121°29'3""E",2026-01-18,2603
20403493,中和圓通書香學區近公園美寓,中和區圓通路393巷19弄4號,3房,26,4F/5F,20000,,中和站 97公尺,屋主:何女士,591_20403493.png,1,"24°59'22""N 121°29'25""E",2026-01-18,2603
20475970,共享生命中的情境近捷運可租補,中和區興南路二段54巷11弄8號,3房,30,5F/5F,25000,,壽南橋站 111公尺,屋主:莊小姐,591_20475970.png,1,"24°59'8""N 121°30'19""E",2026-01-18,2603
20401113,捷運站旁整層住家3樓,中和區景平路64巷,3房,22.6,3F/4F,28000,,秀朗橋站 313公尺,屋主:王先生,591_20401113.png,1,"24°59'29""N 121°31'20""E",2026-01-18,2603
20371121,可租補✿台電✿捷運中原站✿遠東世紀廣場✿,中和區民樂路80巷,2房,20,5F/5F,18985,,平河里站 84公尺,屋主:賴先生,591_20371121.png,1,"25°0'4""N 121°29'3""E",2026-01-18,2603
20435411,捷運起站有座位+大窗採光通風好+綠意靜巷+生活機能超便利,中和區景新街496巷,2房,13,4F/5F,19000,,景平站 642公尺,代理人:李小姐,591_20435411.png,1,"24°59'12""N 121°30'52""E",2026-01-18,2603
20412030,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間一房一廳♥︎大套房,中和區大勇街29巷,1房,15,4F/5F,21979,,景平站 281公尺,仲介:許小姐,591_20412030.png,1,"24°59'40""N 121°30'55""E",2026-01-18,2603
20495646,全新2樓永安捷運浪漫溫馨乾淨整潔,中和區水源路133巷,1房,13,,20000,,永安市場站 289公尺,仲介:黃小姐,591_20495646.png,1,"25°0'14""N 121°30'32""E",2026-01-18,2603
20518545,『友善屋源』社宅可租補*台水電*低樓層*採光通風好*機能便利,中和區民德路,3房,21.58,2F/4F,17000,,壽德街[新巴士]站 143公尺,仲介:趙先生,591_20518545.png,1,"24°59'44""N 121°28'3""E",2026-01-18,2603
20463048,專約~公園旁國光街3房美寓⭕⭐️✔️住商陳柏年,中和區國光街6巷,3房,21.51,4F/5F,22000,,國光派出所站 145公尺,仲介:陳先生,591_20463048.png,1,"25°0'1""N 121°28'19""E",2026-01-18,2603
20423509,廿一社會住宅:中和明亮舒適三房/可租補可入戶籍,中和區大勇街25巷,3房,26,4F/5F,26000,,景平站 209公尺,仲介:朱先生,591_20423509.png,1,"24°59'38""N 121°30'57""E",2026-01-18,2603
20349595,✅公寓一樓✅全新粉刷、近景安/雙和✅可租補,中和區中正路211巷,3房,30,1F/5F,27000,,力行里站 115公尺,仲介:蔡小姐,591_20349595.png,1,"24°59'33""N 121°29'48""E",2026-01-18,2603
20453445,【白序日和｜中和區整租｜可租補報稅｜景安站｜全新裝潢】,中和區景安路210號,2房,20,2F/5F,34000,,捷運景安站 233公尺,代理人:童先生,591_20453445.png,1,"24°59'27""N 121°30'14""E",2026-01-18,2603
20029639,㊝寬敞溫馨舒適║大二房二廳餐廚陽台三面採光║步行臨民安夜市㊝,中和區員山路,2房,20,5F/5F,26800,,積穗國中站 12公尺,屋主:程先生,591_20029639.png,1,"25°0'2""N 121°28'53""E",2026-01-18,2603
20418868,💛四房大空間💛可租補~免服務費,中和區圓通路265巷,4房,38.9,5F/5F,33000,,力行里站 53公尺,代理人:李小姐,591_20418868.png,1,"24°59'34""N 121°29'46""E",2026-01-18,2603
20383166,兆基社會住宅🏠雙和寬敞大三房,中和區中正路,3房,29.63,4F/4F,22000,,雙和醫院(中正路)站 51公尺,仲介:范先生,591_20383166.png,1,"24°59'39""N 121°29'42""E",2026-01-18,2603
